车次,环球度假区,花庄,土桥,临河里,梨园,九棵树,果园,通州北苑,八里桥,管庄,双桥,传媒大学,高碑店,四惠东,四惠,大望路,国贸,永安里,建国门,东单,王府井,天安门东,天安门西,西单,复兴门,南礼士路,木樨地,军事博物馆,公主坟,万寿路,五棵松,玉泉路,八宝山,八角游乐园,古城
1006,,,,,,,,,,,,,,,,4:52:35,4:54:35,4:56:00,4:58:00,4:59:50,5:01:15,5:02:45,5:04:15,5:06:00,5:08:00,5:11:00,5:13:27,5:15:37,5:17:52,5:20:17,5:23:02,5:25:52,5:28:22,5:31:22,5:34:22
,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,,,,,,,,,,,,,,,4:56:30,4:59:23,5:01:58,5:03:58,5:06:28,5:08:53,5:10:53,5:12:53,5:14:50,5:17:01,5:19:36,5:21:11,5:23:38,5:25:48,5:28:03,5:30:28,5:33:13,5:36:03,5:38:33,5:41:33,5:44:33
,,,,,,,,,,,,,,,0,1,1,2,2,2,2,11,14,9,6,4,4,4,3,2,2,1,1,0,0
1011,,,,,,,,,,,,,,5:04:30,5:07:40,5:10:33,5:13:08,5:15:08,5:17:38,5:20:03,5:22:03,5:24:03,5:26:00,5:28:11,5:30:46,5:32:21,5:34:48,5:36:58,5:39:13,5:41:38,5:44:23,5:47:13,5:49:43,5:52:43,5:55:43
,,,,,,,,,,,,,,3,4,4,3,3,3,2,2,12,14,10,7,6,6,6,3,2,2,1,1,0,0
1012,,,,,,,,,,,,,,,5:12:40,5:15:48,5:18:33,5:20:43,5:23:13,5:25:48,5:27:48,5:29:48,5:31:44,5:33:55,5:36:30,5:38:05,5:40:31,5:42:41,5:44:56,5:47:21,5:50:06,5:52:56,5:55:26,5:58:26,6:01:26
,,,,,,,,,,,,,,,1,3,3,3,3,2,5,5,6,4,5,3,3,3,4,2,2,1,0,0,0
1014,,,,,,,,,,,,,,5:14:30,5:17:40,5:20:48,5:23:33,5:25:43,5:28:13,5:30:48,5:32:48,5:34:48,5:36:44,5:38:55,5:41:30,5:43:05,5:45:31,5:47:41,5:49:56,5:52:21,5:55:06,5:57:56,6:00:26,6:03:26,6:06:26
,,,,,,,,,,,,,,4,5,5,6,6,6,4,6,6,6,4,5,4,3,3,1,1,1,0,0,0,0
1016,,,,,,,,,,,,,,,5:22:40,5:25:48,5:28:33,5:30:43,5:33:13,5:35:48,5:37:48,5:39:48,5:41:44,5:43:55,5:46:30,5:48:05,5:50:31,5:52:41,5:54:56,5:57:21,6:00:06,6:02:56,6:05:26,6:08:26,6:11:26
,,,,,,,,,,,,,,,1,2,2,2,2,3,3,3,4,3,5,4,4,4,4,2,2,1,0,0,0
1018,,,,,,,,,,,,,,5:24:30,5:27:40,5:30:48,5:33:33,5:35:43,5:38:13,5:40:48,5:42:48,5:44:48,5:46:44,5:48:55,5:51:30,5:53:05,5:55:31,5:57:41,5:59:56,6:02:21,6:05:06,6:07:56,6:10:26,6:13:26,6:16:26
,,,,,,,,,,,,,,5,6,6,7,7,7,7,5,7,5,5,6,5,5,5,3,3,3,2,1,0,0
1019,,,,,,,,,,,,,,5:29:05,5:32:15,5:35:23,5:38:08,5:40:18,5:42:48,5:45:23,5:47:23,5:49:23,5:51:19,5:53:30,5:56:05,5:57:40,6:00:06,6:02:16,6:04:31,6:06:56,6:09:41,6:12:31,6:15:01,6:18:01,6:21:01
,,,,,,,,,,,,,,1,2,2,3,3,3,3,5,5,6,4,5,5,5,5,5,4,3,2,1,1,0
1020,4:56:50,5:00:50,5:04:30,5:06:20,5:08:30,5:10:50,5:12:50,5:15:30,5:18:20,5:21:30,5:24:40,5:27:50,5:30:40,5:33:10,5:37:35,5:40:43,5:43:28,5:45:38,5:48:08,5:50:43,5:52:43,5:54:43,5:56:39,5:58:50,6:01:25,6:03:00,6:05:26,6:07:36,6:09:51,6:12:16,6:15:01,6:17:51,6:20:21,6:23:21,6:26:21
,0,1,1,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,6,5,6,5,3,3,3,3,3,2,2,1,0
1022,,,,,,,,,,,,,,,5:42:35,5:45:43,5:48:28,5:50:38,5:53:08,5:55:43,5:57:43,5:59:43,6:01:39,6:03:50,6:06:25,6:08:00,6:10:26,6:12:36,6:14:51,6:17:16,6:20:01,6:22:51,6:25:21,6:28:21,6:31:21
,,,,,,,,,,,,,,,0,1,2,3,4,4,3,4,4,5,5,5,5,5,5,4,3,2,1,0,0
1024,5:09:30,5:12:30,5:15:40,5:17:30,5:19:40,5:22:00,5:24:00,5:26:30,5:29:20,5:32:20,5:35:10,5:38:00,5:40:50,5:43:20,5:46:30,5:49:23,5:51:58,5:53:58,5:56:28,5:58:53,6:00:53,6:02:53,6:04:50,6:07:01,6:09:36,6:11:11,6:13:38,6:15:48,6:18:03,6:20:28,6:23:13,6:26:03,6:28:33,6:31:33,6:35:03
,0,1,3,4,8,10,12,16,17,20,24,31,33,35,34,31,26,23,23,21,18,19,19,16,14,11,11,11,9,5,5,4,3,2,0
1026,,,,,,,,,,,,,,,5:51:05,5:54:13,5:56:58,5:59:08,6:01:38,6:04:13,6:06:13,6:08:13,6:10:09,6:12:20,6:14:55,6:16:30,6:18:56,6:21:06,6:23:21,6:25:46,6:28:31,6:31:21,6:33:51,6:36:51,6:39:51
,,,,,,,,,,,,,,,0,3,4,4,3,4,3,4,5,4,5,6,6,6,6,5,5,4,3,2,0
1027,,,,,,,,,,,,,,,5:55:05,5:58:13,6:00:58,6:03:08,6:05:38,6:08:13,6:10:13,6:12:13,6:14:09,6:16:20,6:18:55,6:20:30,6:22:56,6:25:06,6:27:21,6:29:46,6:32:31,6:35:21,6:37:51,6:40:51,6:43:51
,,,,,,,,,,,,,,,1,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,1,1,0,0
1028,5:18:55,5:21:55,5:25:05,5:27:00,5:29:10,5:31:30,5:33:30,5:36:00,5:39:00,5:42:00,5:45:00,5:48:05,5:51:10,5:53:40,5:57:05,6:00:13,6:02:58,6:05:08,6:07:38,6:10:13,6:12:13,6:14:13,6:16:09,6:18:20,6:20:55,6:22:30,6:24:56,6:27:06,6:29:21,6:31:46,6:34:31,6:37:21,6:39:51,6:42:51,6:45:51
,0,1,2,3,5,6,7,9,10,11,17,20,22,22,19,19,19,18,18,14,12,13,13,10,9,8,8,7,6,4,4,3,2,1,0
1029,,,,,,,,,,,,,,,5:59:05,6:02:13,6:04:58,6:07:08,6:09:38,6:12:13,6:14:13,6:16:13,6:18:09,6:20:20,6:22:55,6:24:30,6:26:56,6:29:06,6:31:21,6:33:46,6:36:31,6:39:21,6:41:51,6:44:51,6:47:51
,,,,,,,,,,,,,,,0,2,3,4,4,4,3,4,3,3,4,4,4,4,4,3,2,1,1,0,0
1030,,,5:29:05,5:31:00,5:33:10,5:35:30,5:37:30,5:40:00,5:43:00,5:46:00,5:49:00,5:52:05,5:55:10,5:57:40,6:01:05,6:04:13,6:06:58,6:09:08,6:11:38,6:14:13,6:16:13,6:18:13,6:20:09,6:22:20,6:24:55,6:26:30,6:28:56,6:31:06,6:33:21,6:35:46,6:38:31,6:41:21,6:43:51,6:46:51,6:49:51
,,,1,3,3,4,5,7,10,10,11,14,15,15,16,14,14,12,12,11,10,9,9,9,8,7,7,6,4,4,4,3,2,1,0
1032,,,,,,,,,,,,,,,6:03:05,6:06:13,6:08:58,6:11:08,6:13:38,6:16:13,6:18:13,6:20:13,6:22:09,6:24:20,6:26:55,6:28:30,6:30:56,6:33:06,6:35:21,6:37:46,6:40:31,6:43:21,6:45:51,6:48:51,6:51:51
,,,,,,,,,,,,,,,1,3,3,5,5,5,4,5,5,5,6,5,4,4,2,2,2,1,0,0,0
1033,,,5:33:05,5:35:00,5:37:10,5:39:30,5:41:30,5:44:00,5:47:00,5:50:00,5:53:00,5:56:05,5:59:10,6:01:40,6:05:05,6:08:13,6:10:58,6:13:08,6:15:38,6:18:13,6:20:13,6:22:13,6:24:09,6:26:20,6:28:55,6:30:30,6:32:56,6:35:06,6:37:21,6:39:46,6:42:31,6:45:21,6:47:51,6:50:51,6:53:51
,,,1,2,4,5,5,6,7,7,8,10,11,11,12,11,11,12,10,11,10,9,8,8,8,7,7,6,3,3,3,2,1,1,0
1034,5:28:55,5:31:55,5:35:05,5:37:00,5:39:10,5:41:30,5:43:30,5:46:00,5:49:00,5:52:00,5:55:00,5:58:05,6:01:10,6:03:40,6:07:05,6:10:13,6:12:58,6:15:08,6:17:38,6:20:13,6:22:13,6:24:13,6:26:09,6:28:20,6:30:55,6:32:30,6:34:56,6:37:06,6:39:21,6:41:46,6:44:31,6:47:21,6:49:51,6:52:51,6:55:51
,0,1,3,4,5,6,7,8,9,10,12,14,15,16,17,17,16,14,14,13,11,10,10,10,11,10,8,8,9,6,6,4,3,1,0
1036,,,,,,,,,,,,,,,6:09:05,6:12:13,6:14:58,6:17:08,6:19:38,6:22:13,6:24:13,6:26:13,6:28:09,6:30:20,6:32:55,6:34:30,6:36:56,6:39:06,6:41:21,6:43:46,6:46:31,6:49:21,6:51:51,6:54:51,6:57:51
,,,,,,,,,,,,,,,1,2,5,6,6,6,5,4,5,5,4,4,4,5,7,6,4,2,2,1,0
1037,,,5:39:05,5:41:00,5:43:10,5:45:30,5:47:30,5:50:00,5:53:00,5:56:00,5:59:00,6:02:05,6:05:10,6:07:40,6:11:05,6:14:13,6:16:58,6:19:08,6:21:38,6:24:13,6:26:13,6:28:13,6:30:09,6:32:20,6:34:55,6:36:30,6:38:56,6:41:06,6:43:21,6:45:46,6:48:31,6:51:21,6:53:51,6:56:51,6:59:51
,,,2,3,3,4,6,7,8,10,12,15,16,17,18,19,18,15,15,14,12,11,11,11,11,10,10,9,8,5,5,4,3,2,0
1038,,,,,,,,,,,,,,,6:13:05,6:16:13,6:18:58,6:21:08,6:23:38,6:26:13,6:28:13,6:30:13,6:32:09,6:34:20,6:36:55,6:38:30,6:40:56,6:43:06,6:45:21,6:47:46,6:50:31,6:53:21,6:55:51,6:58:51,7:01:51
,,,,,,,,,,,,,,,1,3,4,5,5,5,7,7,7,7,7,6,5,7,7,6,4,3,2,1,0
